SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RB1
1,MODEL1,PARMS,RB1,0.837567797,-2.351821311,0.117581513,-0.107139204,0.119763248,0.369085037,-0.4230148,1.344561825,-1
2,MODEL1,PARMS,RB1,0.91693896,4.057687755,0.110693963,-0.127058988,0.357432736,-0.059009805,1.158352898,-2.64978508,-1
3,MODEL1,PARMS,RB1,0.967064534,2.598251617,0.286677152,-0.843240404,2.869350786,0.002331328,1.30026302,-2.966146501,-1
4,MODEL1,PARMS,RB1,0.842277574,-6.160599476,0.013480791,0.002098464,0.51169416,0.640229247,0.364148465,-2.008445391,-1
5,MODEL1,PARMS,RB1,1.022063231,-4.905776675,0.186616279,-0.019254029,-0.802139824,0.511330345,-1.153054106,3.473806729,-1
6,MODEL1,PARMS,RB1,1.297303662,-2.194321009,0.325342832,-0.506405021,1.240617642,0.291257856,-0.742673564,3.634956522,-1
7,MODEL1,PARMS,RB1,1.056673945,-2.16399489,0.283200122,-0.726521116,2.502192106,0.304316043,0.690524718,-1.934699827,-1
8,MODEL1,PARMS,RB1,0.896487816,-5.190023173,0.236957693,-0.595473206,2.448329046,0.503013697,0.117573634,-0.323496278,-1
9,MODEL1,PARMS,RB1,0.887881175,-5.555585868,0.367064963,-1.058249082,3.995827907,0.518232839,-1.152088766,2.664224737,-1
10,MODEL1,PARMS,RB1,1.026975852,-2.429588471,0.395416827,-1.072679842,3.800040832,0.301597895,-0.484433328,1.925687801,-1
11,MODEL1,PARMS,RB1,0.932601759,-7.228944241,0.270863788,-0.603976383,1.941322408,0.652950981,-1.212717584,2.274321248,-1
12,MODEL1,PARMS,RB1,1.093948345,-5.002728263,0.300201547,-0.671686119,1.950996541,0.493628565,-0.191189839,0.758490621,-1
13,MODEL1,PARMS,RB1,0.942312871,-4.071085028,0.085083202,-0.271863913,1.042522552,0.489375461,0.385474957,-1.579098737,-1
14,MODEL1,PARMS,RB1,0.910882252,-5.64723427,0.364096186,-1.244838762,4.439997918,0.541811652,-1.567520176,3.762848015,-1
15,MODEL1,PARMS,RB1,0.917492892,-2.381329952,0.225685766,-0.748068336,2.498415862,0.352031712,-0.058771379,0.545449478,-1
16,MODEL1,PARMS,RB1,0.789039152,-4.980536874,0.076712709,-0.534274496,2.019425269,0.578137925,-0.748250035,0.545592019,-1
17,MODEL1,PARMS,RB1,0.807599966,0.060951145,0.262478021,-0.938285769,3.831306669,0.172808163,0.635514905,-1.45502547,-1
18,MODEL1,PARMS,RB1,0.899004603,-9.272803164,0.265378117,-0.554887664,1.732974284,0.776096888,-0.807378886,1.569028517,-1
19,MODEL1,PARMS,RB1,0.977267563,-5.571845224,0.271442301,-0.55061993,1.650608528,0.545855759,-1.586319284,4.213121224,-1
20,MODEL1,PARMS,RB1,0.928585733,-5.277240873,0.089393972,-0.381888269,1.742847411,0.570566294,-0.287060048,0.4674259,-1
21,MODEL1,PARMS,RB1,0.904264311,2.279761883,-0.131367384,0.256636852,-0.601515704,0.134071036,1.072063293,-2.596469153,-1
22,MODEL1,PARMS,RB1,0.941889058,-9.072784098,0.101062246,-0.377429788,1.618940894,0.824794351,-1.424517268,2.729471829,-1
23,MODEL1,PARMS,RB1,0.837166871,-1.955541055,0.258438083,-0.449435955,1.345280803,0.28803986,0.71288921,-2.094034286,-1
24,MODEL1,PARMS,RB1,1.026993583,-1.623899441,0.328109105,-1.116272718,4.131180886,0.267949232,0.495133889,-1.111440597,-1
25,MODEL1,PARMS,RB1,0.892043049,-10.5888993,0.16741156,-0.244281514,0.539184295,0.883614461,-0.681306702,0.581703549,-1
26,MODEL1,PARMS,RB1,1.046337117,-5.408474783,-0.091597685,0.447282993,-1.261214376,0.619036105,-0.444271101,1.076171596,-1
27,MODEL1,PARMS,RB1,1.033425404,2.989065735,0.207584321,-0.332094388,0.868993602,-0.011103706,1.033481068,-1.828826359,-1
28,MODEL1,PARMS,RB1,1.130375049,-12.22627968,0.308837301,-0.368551931,1.248170328,0.934623344,-1.327683553,3.471372695,-1
29,MODEL1,PARMS,RB1,0.85955039,-1.336726423,0.160743046,-0.291657792,0.715266588,0.28989326,-0.201204309,0.744328828,-1
30,MODEL1,PARMS,RB1,0.923258952,1.840145008,0.113116873,-0.393214367,1.572764198,0.090515322,1.419998356,-3.75002967,-1
31,MODEL1,PARMS,RB1,1.21213231,2.439296573,0.260115374,-0.456135389,0.850432034,0.029875948,0.098605045,0.737431025,-1
32,MODEL1,PARMS,RB1,0.893941332,-5.828834092,0.223923669,-0.60934965,1.925737121,0.574043851,-0.89534698,1.836588557,-1
33,MODEL1,PARMS,RB1,1.015103192,-1.105680313,-0.074407661,0.091487331,-0.593399436,0.360305352,-0.489067038,0.846476013,-1
34,MODEL1,PARMS,RB1,0.822977228,1.87335715,0.288082771,-0.956105838,3.588744322,0.044648625,1.06642999,-2.586814877,-1
35,MODEL1,PARMS,RB1,0.869675354,-0.577728237,-0.05275549,-0.001301795,0.132708248,0.308276193,0.157370636,-0.465632583,-1
36,MODEL1,PARMS,RB1,0.944053739,-0.520015291,0.211863696,-0.71744249,2.702445097,0.225344506,0.525284794,-1.438389297,-1
37,MODEL1,PARMS,RB1,0.900627013,-2.44258972,0.421149258,-0.941047595,3.605513068,0.270012674,0.577908487,-1.318421941,-1
38,MODEL1,PARMS,RB1,0.94291743,8.191117796,0.305911832,-0.863292802,3.003526435,-0.361154471,1.718226199,-3.770928934,-1
39,MODEL1,PARMS,RB1,0.945519991,8.807602307,0.124387558,-0.10745597,-0.129794553,-0.366572733,1.672398289,-3.184831771,-1
40,MODEL1,PARMS,RB1,0.841043815,1.615809336,0.200077724,-0.592199157,2.275684766,0.089542231,0.864019109,-2.289050427,-1
41,MODEL1,PARMS,RB1,1.036799983,-1.846658186,0.013783261,-0.061263976,0.032903955,0.368098857,0.275186927,-0.861940974,-1
42,MODEL1,PARMS,RB1,0.953311184,2.506912741,0.071877617,-0.22608167,0.652969291,0.071474927,0.316949511,-0.117024109,-1
43,MODEL1,PARMS,RB1,0.907393887,2.99188268,0.18742793,-0.454525056,1.338966277,0.002116111,1.168794045,-2.923626105,-1
44,MODEL1,PARMS,RB1,1.036815317,-1.592618799,0.50369365,-1.13860701,3.856145241,0.202395295,-0.4157019,2.088152055,-1
45,MODEL1,PARMS,RB1,0.897601982,-4.19003312,0.200667849,-0.626606531,2.647945513,0.455390847,0.476924557,-1.379772502,-1
46,MODEL1,PARMS,RB1,0.891240788,-8.673929915,0.211158346,-0.422860486,1.409555992,0.760536509,-2.142476728,5.232316062,-1
47,MODEL1,PARMS,RB1,0.945934511,-7.522316113,0.181760373,-0.422642501,1.005827763,0.692404926,-1.031007888,2.343320473,-1
48,MODEL1,PARMS,RB1,0.832889359,1.028141255,0.080662599,-0.231324468,0.652782764,0.166757678,0.64336349,-1.875078418,-1
49,MODEL1,PARMS,RB1,0.925435598,-3.419804069,0.17240433,-0.707111513,2.611307616,0.45337547,-1.300887618,3.050373615,-1
50,MODEL1,PARMS,RB1,0.927529531,0.374625276,0.248706932,-0.760399015,2.686294276,0.159639148,0.446122358,-0.924123483,-1
51,MODEL1,PARMS,RB1,0.922336095,-8.706877645,0.187201766,-0.487982446,1.361358858,0.784248595,-1.547456458,2.683993337,-1
52,MODEL1,PARMS,RB1,1.050260476,-10.36769062,0.233188647,-0.571439493,2.061062729,0.860374517,-1.370813908,2.945440898,-1
53,MODEL1,PARMS,RB1,0.875544801,0.714235773,0.085349759,-0.048878932,-0.093894676,0.1730884,0.517489812,-1.148340761,-1
54,MODEL1,PARMS,RB1,0.903958041,-8.068081027,0.106460057,-0.343572229,1.090518149,0.758103041,-0.440939036,-0.062366083,-1
55,MODEL1,PARMS,RB1,0.89889961,-4.768196386,0.074365794,-0.02767438,0.128211954,0.53081333,0.064963861,-0.585018754,-1
56,MODEL1,PARMS,RB1,1.01843151,-8.655129654,0.422397549,-0.938137047,3.117985167,0.681838008,-0.591924636,1.358566317,-1
57,MODEL1,PARMS,RB1,1.061420533,-2.719746588,-0.000139579,0.162871713,-0.581419922,0.425181693,-0.587025921,1.769739803,-1
58,MODEL1,PARMS,RB1,0.876383754,-3.602140597,0.135118193,-0.271652454,0.854382256,0.439294788,0.376246008,-1.52785653,-1
59,MODEL1,PARMS,RB1,0.836306975,-3.41545747,0.05559721,-0.329829104,1.041016888,0.467178216,-0.29205356,0.051217371,-1
60,MODEL1,PARMS,RB1,0.902490232,-6.853031957,0.325864649,-0.644333552,1.989476293,0.58704632,0.071201485,-0.312826424,-1
61,MODEL1,PARMS,RB1,0.944276431,-2.338141763,0.187133435,-0.481951517,1.717874798,0.341530035,0.245236401,-0.646255602,-1
62,MODEL1,PARMS,RB1,0.855642098,-4.571205852,0.030748767,-0.039956678,0.262519139,0.53408624,-0.052229089,-0.198248875,-1
63,MODEL1,PARMS,RB1,0.8786754,5.894397299,0.094496905,0.007846195,-0.370826938,-0.178180919,1.699262846,-3.868440387,-1
64,MODEL1,PARMS,RB1,0.922385365,-6.477020846,0.176624883,-0.191525886,0.337475623,0.625969253,-0.731597026,1.32953921,-1
65,MODEL1,PARMS,RB1,0.855772445,-9.98285263,-0.015376091,-0.06333573,0.255661589,0.919515465,-2.249621987,4.929391525,-1
66,MODEL1,PARMS,RB1,0.870586406,-0.272952426,0.069069397,-0.003830019,-0.516288863,0.255095931,-0.655888196,1.812961198,-1
67,MODEL1,PARMS,RB1,0.892141977,-4.763164536,0.223493995,-0.750500259,2.454226922,0.511599672,-0.102450943,-0.421348458,-1
68,MODEL1,PARMS,RB1,1.001120857,2.367629328,0.128683245,-0.233032005,0.456268269,0.055031101,0.930960231,-1.867281963,-1
69,MODEL1,PARMS,RB1,0.849234249,-9.508890529,0.243906233,-0.61354215,2.594664413,0.796002601,-0.908701262,1.496249165,-1
70,MODEL1,PARMS,RB1,0.934097281,0.739400019,0.109760643,-0.210710141,0.443283134,0.180652563,0.116254028,-0.267287728,-1
71,MODEL1,PARMS,RB1,0.882712173,2.402774336,0.035591554,-0.219283675,0.905357011,0.0808039,1.644450142,-4.379066674,-1
72,MODEL1,PARMS,RB1,1.051120018,-5.302217535,0.209273878,-0.448981506,1.462885799,0.52008707,0.521436197,-1.716475803,-1
73,MODEL1,PARMS,RB1,0.934068606,-1.37354216,0.152261939,-0.195446559,0.517881078,0.283352448,0.634602724,-1.541820839,-1
74,MODEL1,PARMS,RB1,0.878994675,0.03154317,0.204282124,-0.404932225,1.222579359,0.182817167,0.357450014,-0.760291388,-1
75,MODEL1,PARMS,RB1,0.944109631,1.528158704,0.0342021,0.058235728,-0.415948157,0.133274118,1.349130558,-3.002084652,-1
76,MODEL1,PARMS,RB1,0.992497241,0.215564164,0.132601313,-0.451703765,1.665990028,0.211356035,-0.121865139,0.563027843,-1
77,MODEL1,PARMS,RB1,0.8736263,-0.661424072,-0.01770753,0.133187358,-1.13554365,0.306566651,-0.514552949,1.194525861,-1
78,MODEL1,PARMS,RB1,0.842856001,-0.437692888,0.316886545,-0.917216178,3.46619505,0.17067318,1.38035984,-3.431701243,-1
79,MODEL1,PARMS,RB1,0.919911561,-7.228695111,0.166711128,-0.488701861,1.716732944,0.679506656,-0.579968201,0.554955247,-1
80,MODEL1,PARMS,RB1,1.043427439,1.873970569,0.239633619,-0.563864253,1.641350969,0.055570149,1.237420652,-2.848888891,-1
81,MODEL1,PARMS,RB1,0.893755934,0.393867211,0.028522158,-0.156289324,0.770265863,0.226536572,0.132565028,-0.725765289,-1
82,MODEL1,PARMS,RB1,0.973015735,-6.45860114,0.253906729,-0.614090278,1.918832054,0.597782815,-0.94241744,2.334816426,-1
83,MODEL1,PARMS,RB1,1.033937582,3.594113001,0.115930374,-0.114796758,-0.262003763,-0.021631112,1.016379194,-1.8078913,-1
84,MODEL1,PARMS,RB1,1.299143768,1.445482678,0.456396717,-0.922438156,2.929504828,-0.008501321,1.462596333,-1.731017544,-1
85,MODEL1,PARMS,RB1,1.374767148,-9.782346981,0.538379993,-1.149997843,3.721847688,0.734851263,-2.036972689,5.874645471,-1
86,MODEL1,PARMS,RB1,0.946833074,3.068987657,-0.172179297,0.322657029,-1.121585716,0.114216923,0.726991577,-2.016880265,-1
87,MODEL1,PARMS,RB1,0.925988436,4.083832935,0.102698151,-0.222834625,1.017586406,-0.052816707,1.279296971,-2.956992285,-1
88,MODEL1,PARMS,RB1,0.890905504,-4.910949262,0.378729425,-0.635996217,1.649463143,0.446078134,-0.143834627,0.793908682,-1
89,MODEL1,PARMS,RB1,1.029972272,-0.029253451,0.305788769,-0.582493753,1.741770086,0.159104939,0.274750265,-0.188466459,-1
90,MODEL1,PARMS,RB1,1.185998744,-0.654428281,0.155151828,-0.293218174,1.167633135,0.261576565,-1.263604597,4.119740037,-1
91,MODEL1,PARMS,RB1,1.340301866,-2.957898778,0.514140805,-0.839670185,1.815749371,0.282385642,0.483943253,-0.231917679,-1
92,MODEL1,PARMS,RB1,1.007632361,-3.044539194,0.118982823,-0.515667782,1.966785822,0.421971657,-0.186692148,0.382013741,-1
93,MODEL1,PARMS,RB1,0.908325862,-6.574517898,-0.08855506,0.248567102,-0.732257548,0.702328174,-0.288372947,0.271730857,-1
94,MODEL1,PARMS,RB1,0.903477687,4.296202646,0.117230933,-0.077745706,-0.290038736,-0.066278264,0.906639517,-1.960295359,-1
95,MODEL1,PARMS,RB1,0.950434006,-4.758848285,0.092683715,-0.133426606,0.043515683,0.535973358,-0.76410814,1.328806978,-1
96,MODEL1,PARMS,RB1,0.883095525,-6.933531039,-0.061754938,0.260644618,-0.950680573,0.713305551,0.140034947,-1.542121453,-1
97,MODEL1,PARMS,RB1,1.024059002,4.952210442,0.032016758,-0.277090114,0.928189017,-0.0603978,0.745867349,-1.529098836,-1
98,MODEL1,PARMS,RB1,1.017026192,-3.532918883,0.251848519,-0.260473634,0.584515718,0.382257329,0.239984703,-0.406318707,-1
99,MODEL1,PARMS,RB1,0.984186764,-16.3501913,0.256363364,-0.880935528,3.603343214,1.258538613,-2.89585228,5.655129367,-1
100,MODEL1,PARMS,RB1,0.888692533,-10.08079621,0.029583317,-0.113069794,0.663117407,0.909619357,-1.909925672,4.266947361,-1
101,MODEL1,PARMS,RB1,0.951716775,-1.831625174,0.170617526,-0.323915347,0.801782844,0.320620591,0.562064267,-1.83398714,-1
102,MODEL1,PARMS,RB1,0.930929736,-3.629583003,0.366715279,-0.81500044,2.619158648,0.379102275,0.012789448,0.197269313,-1
103,MODEL1,PARMS,RB1,0.881177756,-7.991600642,0.102497311,-0.152162034,0.498038434,0.7396916,-0.718112076,0.655718919,-1
104,MODEL1,PARMS,RB1,1.072937609,-5.400306586,0.082201112,-0.238187059,0.839661307,0.587557473,-0.902776442,1.871509227,-1
105,MODEL1,PARMS,RB1,1.649372922,-15.59591557,0.588147967,-0.850507465,2.372811114,1.087227766,-4.309860511,13.48887838,-1
106,MODEL1,PARMS,RB1,0.919029247,-2.921809954,0.293884941,-0.373946684,0.742958796,0.344569649,0.557017461,-1.764402951,-1
107,MODEL1,PARMS,RB1,0.936106968,-6.356753493,0.220894594,-0.448563414,1.471214948,0.582755841,0.836134274,-3.079867558,-1
108,MODEL1,PARMS,RB1,1.039488275,-4.918934508,0.271805927,-0.973270981,3.571125201,0.501796223,0.243787124,-0.807410048,-1
109,MODEL1,PARMS,RB1,1.167614907,-4.776390839,0.456091891,-1.298570429,4.522562944,0.448625483,-1.277935329,4.069314462,-1
110,MODEL1,PARMS,RB1,0.983874718,0.546481048,0.434369361,-1.074006515,3.584350891,0.076834854,1.538904542,-3.583647168,-1
111,MODEL1,PARMS,RB1,0.892939991,-1.423144382,0.018036527,-0.203633175,1.000266254,0.343988014,-0.302644342,0.771616273,-1
112,MODEL1,PARMS,RB1,0.846654323,-4.012420844,0.176005755,-0.515996859,1.782475541,0.484816848,-0.967873074,2.064033132,-1
113,MODEL1,PARMS,RB1,0.882492235,7.397701699,0.075024759,-0.238177343,0.800885731,-0.25719555,1.978116308,-4.54873298,-1
114,MODEL1,PARMS,RB1,0.886852438,-2.343064049,0.087419716,-0.150301803,0.304458092,0.378395449,0.493062643,-1.844509982,-1
115,MODEL1,PARMS,RB1,0.926955379,-7.21746157,0.065496332,-0.335539799,1.177548203,0.714620413,-0.536679914,0.575690889,-1
116,MODEL1,PARMS,RB1,0.996277129,3.645473242,0.16224444,-0.402187759,1.087468049,-0.020520049,0.410566038,-0.658065168,-1
117,MODEL1,PARMS,RB1,1.058340459,-0.250878491,0.294588217,-0.512581156,1.379616388,0.177777519,0.25059236,-0.13851741,-1
118,MODEL1,PARMS,RB1,1.293738269,-9.000030723,0.64985441,-1.471329503,4.806232314,0.638802431,-1.28724584,4.189429277,-1
119,MODEL1,PARMS,RB1,0.806832632,-1.141050933,0.119999601,-0.265274833,0.751945425,0.277730871,1.17571483,-3.479507609,-1
120,MODEL1,PARMS,RB1,1.018960712,-9.164829312,0.275852716,-0.705438535,2.288108469,0.776065762,-1.256262503,2.988008276,-1
121,MODEL1,PARMS,RB1,0.920908017,7.65363419,0.107096501,-0.236930488,0.369090694,-0.278377686,1.71018518,-3.657861553,-1
122,MODEL1,PARMS,RB1,0.986004301,-6.676613207,0.211458275,-0.156310144,0.20948001,0.607643735,-0.635016225,1.838868746,-1
123,MODEL1,PARMS,RB1,1.045213055,-9.068729703,-0.054045132,-0.067898868,0.356237944,0.872491161,-1.97001825,4.982312035,-1
124,MODEL1,PARMS,RB1,0.87357182,2.24216418,0.150686998,-0.432310412,1.449220073,0.066910281,0.436713569,-1.214497502,-1
125,MODEL1,PARMS,RB1,0.88191365,-0.634780528,0.157144099,-0.33783469,1.336080946,0.229251497,1.352034974,-3.574670965,-1
126,MODEL1,PARMS,RB1,0.953369443,-19.4558245,0.221255004,-0.431913016,1.269598948,1.470329547,-3.473538869,6.993848001,-1
127,MODEL1,PARMS,RB1,0.993231041,1.82586312,0.155219789,-0.146485434,-0.414135882,0.105177851,-0.568217702,1.732470038,-1
128,MODEL1,PARMS,RB1,0.913781841,-7.436839072,0.323421473,-0.791473263,3.065934185,0.635123165,-0.111037865,-0.235760169,-1
129,MODEL1,PARMS,RB1,0.905956286,-0.804981412,0.165901854,-0.502423085,1.985823165,0.260226271,-0.338293684,1.237100216,-1
130,MODEL1,PARMS,RB1,0.990722727,-2.703182101,0.181860286,-0.325829623,0.943165636,0.362196968,0.022040661,0.012365187,-1
131,MODEL1,PARMS,RB1,0.912790356,-0.325282846,0.130391596,-0.423187651,1.469258611,0.2420062,0.227562569,-0.889226736,-1
132,MODEL1,PARMS,RB1,1.066599225,-1.60733953,0.154485913,0.025456148,-0.71711085,0.291894229,0.971226793,-2.597971327,-1
133,MODEL1,PARMS,RB1,0.957142133,1.675473357,0.275929336,-0.627978517,1.603365574,0.051473384,1.417613549,-3.208285085,-1
134,MODEL1,PARMS,RB1,0.81615983,-3.560929929,0.199611671,-0.583547671,1.819361388,0.431535512,-0.146283952,-0.286202513,-1
135,MODEL1,PARMS,RB1,0.948682863,-5.315098249,0.332820981,-0.722564683,2.568584221,0.497555965,-0.473086548,1.119135754,-1
136,MODEL1,PARMS,RB1,0.898685358,-0.485484044,0.084246223,-0.346160957,1.533886671,0.260934266,0.670870839,-1.636454766,-1
137,MODEL1,PARMS,RB1,0.918428937,-4.749692836,0.057135368,-0.08951999,0.321264409,0.541339721,-0.63700671,1.183553337,-1
138,MODEL1,PARMS,RB1,0.881518449,-1.724953656,0.115852981,-0.615218786,2.625868819,0.331503436,0.309115105,-0.618796731,-1
139,MODEL1,PARMS,RB1,0.878760719,0.534167645,0.154013854,-0.433461255,1.17312598,0.179118863,0.464573323,-1.283956576,-1
140,MODEL1,PARMS,RB1,0.951426434,-5.083509125,-0.021942009,0.157931609,-0.565305613,0.585921182,-0.273193861,-0.052062566,-1
141,MODEL1,PARMS,RB1,1.004960392,0.2133525,0.172611695,-0.373913913,1.515180604,0.158510308,1.265467462,-2.219543401,-1
142,MODEL1,PARMS,RB1,0.848518663,-0.51261945,0.319993099,-0.653066878,2.059143985,0.17905925,0.548936456,-1.182467422,-1
143,MODEL1,PARMS,RB1,1.046671416,-3.212996784,0.275332987,-0.451352579,0.904511858,0.381556767,-0.028516357,0.009687992,-1
144,MODEL1,PARMS,RB1,0.970119928,-7.322269289,0.139544095,0.102034808,-0.961030979,0.666624465,-0.478691968,1.026423694,-1
145,MODEL1,PARMS,RB1,0.889001835,6.257685062,0.15348462,-0.145614618,0.282130791,-0.21948406,2.639303985,-6.230151732,-1
146,MODEL1,PARMS,RB1,1.158737263,-4.965186644,0.499052663,-1.133642608,3.476991485,0.436750014,-0.65292809,2.51276486,-1
147,MODEL1,PARMS,RB1,0.92411337,-1.882758049,0.305177486,-0.636397231,2.180806352,0.28524661,0.573389772,-1.90130001,-1
148,MODEL1,PARMS,RB1,0.890930027,-1.221391471,0.21817682,-0.480099633,1.578136388,0.265417936,0.319672145,-0.668217905,-1
149,MODEL1,PARMS,RB1,0.987569071,9.082482658,0.082749958,-0.292677663,1.082908845,-0.375861127,1.999588942,-3.764881944,-1
150,MODEL1,PARMS,RB1,1.148472267,-5.130615721,0.229114984,-0.459460675,1.388474913,0.520820897,-1.772681614,5.782417661,-1
151,MODEL1,PARMS,RB1,0.941652985,-0.838856485,-0.060898633,0.112047722,-0.277208326,0.328692569,0.243586487,-0.834135071,-1
152,MODEL1,PARMS,RB1,0.943799759,-0.763332463,0.114911206,-0.496906274,2.246249376,0.272812652,0.710611732,-2.240151381,-1
153,MODEL1,PARMS,RB1,1.067665867,-6.211679686,0.042554291,-0.299390898,1.388321157,0.653559628,-0.490445419,0.555211351,-1
154,MODEL1,PARMS,RB1,1.006658599,-6.642373142,0.185851915,-0.684665964,2.508083176,0.662816314,-1.778212749,3.970783078,-1
155,MODEL1,PARMS,RB1,0.899669284,-9.273074361,0.134877169,0.112766175,-1.075738395,0.797508196,-1.169281881,2.340823614,-1
156,MODEL1,PARMS,RB1,0.856725912,-1.028239043,0.096240324,-0.330197245,1.294648245,0.286530409,0.176878697,-0.45207817,-1
157,MODEL1,PARMS,RB1,1.369705735,-3.39085597,0.483597951,-0.654281238,1.626586317,0.311604251,-0.245886643,1.823389296,-1
158,MODEL1,PARMS,RB1,0.837778365,-5.072924029,0.10103221,-0.291063819,0.957177847,0.558749721,-0.570154389,0.923901202,-1
159,MODEL1,PARMS,RB1,0.999025384,6.355065886,0.095354827,-0.113079696,-0.013644031,-0.193426328,1.360804309,-2.610385167,-1
160,MODEL1,PARMS,RB1,1.04618764,-2.045277976,0.190642032,-0.580843814,2.18761724,0.338130039,0.025908555,-0.133168939,-1
161,MODEL1,PARMS,RB1,1.016487257,-0.468409862,0.036566192,-0.159857293,0.826025859,0.264505199,0.057566157,0.224310373,-1
162,MODEL1,PARMS,RB1,0.864684877,-2.027291062,0.15914704,-0.51297926,2.065347303,0.347304562,-0.987766407,2.83591624,-1
163,MODEL1,PARMS,RB1,1.704954852,-13.36167074,0.774281407,-1.505040942,4.561644001,0.894786449,-4.484307868,15.49275798,-1
164,MODEL1,PARMS,RB1,1.004946456,-3.776462127,0.414518825,-1.146406637,4.069529161,0.375268915,0.14734445,-0.485955106,-1
165,MODEL1,PARMS,RB1,1.103330594,-1.99396604,0.423980792,-0.823212211,2.84075685,0.243409315,0.609597879,-0.991305799,-1
166,MODEL1,PARMS,RB1,1.228367654,-11.36562072,0.524260081,-1.371808694,4.755890159,0.853485157,-1.512840201,3.499066234,-1
167,MODEL1,PARMS,RB1,1.142712646,3.387371322,0.251944056,-0.592316094,1.7016688,-0.041727592,0.78287622,-0.889686764,-1
168,MODEL1,PARMS,RB1,0.945696297,4.023184356,0.160232811,-0.379568999,1.306422764,-0.074628595,1.337192731,-2.15112633,-1
169,MODEL1,PARMS,RB1,0.912058496,-3.557707624,0.293264476,-0.942052815,3.764731481,0.395344328,-0.100649181,0.359484595,-1
170,MODEL1,PARMS,RB1,0.997070697,-5.822706271,0.26701362,-0.475923018,1.320077597,0.555497186,-1.07034513,2.895000264,-1
171,MODEL1,PARMS,RB1,1.001037661,-1.485779955,-0.234721641,0.579767463,-2.059600533,0.421020087,-0.310071973,1.747593604,-1
172,MODEL1,PARMS,RB1,1.051383129,-8.344411496,0.090554183,-0.125760567,0.153493523,0.782440622,-1.438934463,2.544667123,-1
173,MODEL1,PARMS,RB1,0.871759755,-9.294877699,0.175934689,-0.352338991,0.989273239,0.810786386,-1.88600865,4.333421476,-1
174,MODEL1,PARMS,RB1,0.878095424,6.13391669,0.234090274,-0.552875763,1.580424327,-0.217704856,1.800476597,-4.147460099,-1
175,MODEL1,PARMS,RB1,0.839620025,2.024350852,-0.005499596,0.094054368,-0.29798262,0.102287186,1.392774319,-3.334454064,-1
176,MODEL1,PARMS,RB1,1.067691985,-10.51929533,0.263019222,-0.677325577,2.838072645,0.850314182,-0.847692769,1.602784718,-1
177,MODEL1,PARMS,RB1,0.940287368,-5.115870568,0.191233197,-0.767883384,3.036818408,0.546352636,-0.74992554,1.384651406,-1
178,MODEL1,PARMS,RB1,1.39610016,-3.199373327,0.416949201,-0.783666774,2.313059199,0.331955547,-0.152537074,1.460517707,-1
179,MODEL1,PARMS,RB1,1.048053783,-8.298936074,0.350530609,-0.796654184,2.721043847,0.68879599,-1.092038443,2.526185883,-1
180,MODEL1,PARMS,RB1,0.885053537,-4.990528313,0.010951882,-0.078849154,0.306402183,0.577771638,-0.255696158,-0.049340626,-1
181,MODEL1,PARMS,RB1,0.803356699,-7.899963489,0.331895533,-0.956691174,3.442873459,0.674778755,-0.663471685,0.720533628,-1
182,MODEL1,PARMS,RB1,0.833333425,0.845222807,0.152362672,-0.551836229,1.950927383,0.170258998,0.064769508,-0.015349226,-1
183,MODEL1,PARMS,RB1,0.841518949,-7.211633779,0.008188311,0.027013596,0.109660567,0.710256278,-0.523010994,0.831171428,-1
184,MODEL1,PARMS,RB1,0.945295147,-4.165453002,0.094002769,-0.245617932,0.705294695,0.503870467,0.043196587,-0.924081734,-1
185,MODEL1,PARMS,RB1,1.081482703,-9.756067451,0.112941102,-0.239042885,0.879106336,0.866377932,-2.240266802,5.490521717,-1
186,MODEL1,PARMS,RB1,0.934157277,-0.711422314,0.196545908,-0.270399972,0.441653271,0.244038325,-0.038968455,0.161197475,-1
187,MODEL1,PARMS,RB1,0.980479929,-8.863506007,-0.146654872,0.08615096,-0.057630798,0.907091344,-2.101710629,4.345434061,-1
188,MODEL1,PARMS,RB1,1.004465417,2.864143012,0.146155806,-0.347757068,0.732593281,0.022722182,1.034229517,-2.036135749,-1
189,MODEL1,PARMS,RB1,0.888038992,-2.995506995,0.170503389,-0.280458408,0.821303429,0.38438415,0.366431659,-0.95621191,-1
190,MODEL1,PARMS,RB1,1.017141235,-3.13577875,0.187689894,-0.628537577,2.12639421,0.406684035,0.009113656,-0.023885035,-1
191,MODEL1,PARMS,RB1,0.916318206,-5.558606165,0.281178945,-0.535939128,1.558766653,0.533942819,-0.995485873,2.446755604,-1
192,MODEL1,PARMS,RB1,0.800438055,-4.726033329,0.174012108,-0.343702469,0.811157875,0.494455709,0.289610261,-1.326098613,-1
193,MODEL1,PARMS,RB1,0.853846105,-11.16134889,0.231204743,-0.805507946,3.215764646,0.930974427,-2.471069396,5.284073109,-1
194,MODEL1,PARMS,RB1,0.965390276,-1.950089548,0.10267762,-0.647269988,2.613790607,0.360411172,-0.14420151,0.613691182,-1
195,MODEL1,PARMS,RB1,1.119491457,-10.73703034,0.574121499,-1.237253234,3.950063597,0.779729457,-2.06771861,5.54460952,-1
196,MODEL1,PARMS,RB1,0.913392861,-1.397693793,0.082968145,-0.379192288,1.372788255,0.337952902,-0.349408983,0.580308616,-1
